[ 2025-06-19 00:26:14,478 ] 23 root - INFO - Initiate the data ingestion
[ 2025-06-19 00:26:17,089 ] 60 root - INFO - Performed train test split on the dataframe
[ 2025-06-19 00:26:17,089 ] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-19 00:26:17,089 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-19 00:26:17,144 ] 79 root - INFO - Exported train and test file path.
[ 2025-06-19 00:26:17,144 ] 25 root - INFO - Data Initiation Completed
[ 2025-06-19 00:26:17,154 ] 29 root - INFO - Initiate the data Validation
[ 2025-06-19 00:26:17,345 ] 32 root - INFO - Required number of columns:2
[ 2025-06-19 00:26:17,345 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-19 00:26:17,346 ] 32 root - INFO - Required number of columns:2
[ 2025-06-19 00:26:17,347 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-19 00:26:17,531 ] 31 root - INFO - data Validation Completed
